"","avg_price","coral_cover","dist_to_reef","dive_site","beach_width","near_dist_beach","dist_to_access_points","class","rating","num_reviews","number_rooms","air_trans","bar","beachfront","biz_center","breakfast","concierge","conference","free_parking","gym","laundry","mtg_rooms","multilingual","no_smoke","wheelchair","wifi","dist_to_airport"
"107",1307.5,63104108.18,457.2701416,"1",117.3453491,179.6643023,221.5180141,4,4,195,10,"0","1","1","0","0","1","1","0","0","0","1","1","1","1","1",14931.15492
"108",800.5,54469799.62,615.8976501,"1",113.917515,159.1103509,524.3916805,4.5,4,3015,194,"1","1","1","0","0","1","1","0","1","1","1","1","0","1","1",15044.27865
"109",712.5,63274610.7,506.0144277,"1",103.0796506,160.1073483,687.3527453,4.5,4.5,3135,130,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",14990.29892
"110",580,63262711.3,591.0805824,"1",106.1449895,275.5761808,681.8654057,3,4,558,19,"1","0","0","0","0","0","0","0","0","0","0","1","1","0","1",14871.60409
"111",646,54457716.18,623.6260027,"1",111.0791151,169.4639249,477.0629383,4,4.5,2530,140,"0","1","1","1","0","1","1","0","1","1","1","1","0","1","1",15043.1903
"112",687,54504406.59,591.3119687,"1",99.64779494,134.1472637,794.4811403,4.5,4,8125,790,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15033.18036
"113",597.5,62069265.34,429.4354643,"1",87.32936487,173.893388,323.1453934,4,4,1878,58,"0","1","1","0","0","1","0","0","0","1","0","1","1","1","1",14895.86024
"114",621.5,52063677.06,576.543221,"1",80.6680479,109.2099369,160.9383522,4,4,2058,95,"0","0","1","1","0","1","1","0","1","1","1","1","1","1","0",14974.7998
"115",908,54345558.5,830.8495521,"1",113.3475011,374.1367778,624.7849525,4,4,19,5,"1","1","1","0","0","1","0","0","1","0","0","0","1","0","1",14832.81317
"116",531.5,61359712.71,677.432116,"1",117.3686314,392.9635946,483.904199,2.5,3.5,330,42,"0","0","0","0","0","1","0","0","0","0","0","1","1","1","0",14688.02227
"117",631,54500316.51,617.6237028,"1",117.5746001,159.2419518,577.7819786,4,4,2031,92,"0","1","1","0","0","1","1","0","1","1","1","1","1","1","1",15035.54466
"118",562.5,54446987.08,583.9485301,"1",111.5276578,123.6238611,294.9061717,3.5,3,37,10,"0","1","1","1","1","1","0","0","1","1","0","0","1","0","1",15121.38026
"119",544.5,54457716.18,626.5263979,"1",111.9191986,172.6611653,458.6374058,4.5,4.5,4178,186,"0","1","1","1","0","1","1","0","1","1","1","1","0","1","0",15042.81205
"120",551.5,63094786.51,426.3699596,"1",111.8694333,160.7768746,264.3834837,3,4,1102,60,"0","1","1","1","0","1","1","0","1","1","0","1","1","1","1",14954.79325
"121",525,63514168.3,610.3985503,"1",99.89505422,141.0313815,886.0037401,4.5,4,4069,393,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15019.13807
"122",471.5,54390343.8,773.4599239,"1",113.4413778,318.7271096,479.218158,3,3.5,473,44,"0","0","0","0","0","1","0","0","0","0","0","1","0","0","1",14911.1404
"123",550,54415116.27,649.6460701,"1",110.3193158,192.5138294,305.6563026,4.5,4.5,2542,250,"0","1","1","0","0","1","1","0","1","1","1","1","1","1","1",15060.97255
"124",536.5,54236583.04,750.6016819,"1",84.877854,286.9277188,290.0171505,4.5,4,584,58,"0","0","0","0","0","1","0","0","1","1","0","1","1","1","1",15011.38987
"125",521,61230791.49,667.2111358,"1",98.54181637,407.2617121,566.9736359,4,4.5,1997,85,"0","0","0","0","0","1","0","0","0","1","0","1","1","1","1",14663.42984
"126",502,54446987.08,583.9485301,"1",111.5276578,123.6238611,294.9061717,4.5,4.5,2408,200,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15121.38026
"127",523,52055549.44,529.1045697,"1",86.33623801,116.9185503,223.8956703,4,4.5,2935,224,"0","1","1","0","0","1","1","0","1","1","1","1","1","1","0",14960.47038
"128",457.5,63095052.17,531.0342973,"1",106.0877469,267.9449932,361.5119516,4,4.5,676,33,"0","0","0","0","0","1","0","0","0","1","0","1","1","1","1",14849.85909
"129",472,54501561.14,740.1447656,"1",100.2304385,282.057453,868.6917923,4,4,1129,105,"0","1","0","1","0","1","0","0","1","1","1","1","1","1","1",14883.32183
